vous	v u
informé	ɛ̃ f ɔ ʁ m e
historiens	i s t ɔ ʁ j ɛ̃
infraction	ɛ̃ f ʁ a k s j ɔ̃
historiquement	i s t ɔ ʁ i k m ɑ̃
infâme	ɛ̃ f ɑ m
historiques	i s t ɔ ʁ i k
hoche	ɔ ʃ
hocha	ɔ ʃ a
hommage	ɔ m a ʒ
inférieur	ɛ̃ f e ʁ j œ ʁ
hochant	ɔ ʃ ɑ̃
inférieures	ɛ̃ f e ʁ j œ ʁ
holmes	ɔ l m
ingénieuse	ɛ̃ ʒ e ɲ ø z
holà	ɔ l a
inhabité	i n a b i t e
inhérents	i n e ʁ ɑ̃
ininterrompue	i n ɛ̃ t ɛ ʁ ɔ̃ p y
honneur	ɔ n œ ʁ
injures	ɛ̃ ʒ y ʁ
honnêtes	ɔ n ɛ t
honte	ɔ̃ t
hontes	ɔ̃ t
horizons	ɔ ʁ i z ɔ̃
horizontales	ɔ ʁ i z ɔ̃ t a l
hospicelà	ɔ s p i s ə l a
hotte	ɔ t
houe	u
houssoir	u s w a ʁ
huguenote	y ɡ n ɔ t
huitièmement	ɥ i t j ɛ m ɑ̃
humble	ɛ̃ b l
humiliation	y m i ʎ a s j ɔ̃
hurlatil	y ʁ l a t i
hurlatil	y ʁ l a t i l
hydrauliques	i d ʁ o ʎ i k
hâta	ɑ t a
injustement	ɛ̃ ʒ y s t ə m ɑ̃
innocente	i n ɔ s ɑ̃ t
hâtait	ɑ t ɛ
innocents	i n ɔ s ɑ̃
hâtant	ɑ t ɑ̃
innombrables	i n ɔ̃ b ʁ a b l
inondations	i n ɔ̃ d a s j ɔ̃
hâves	ɑ v
honnêtement	ɔ n ɛ t m ɑ̃
inondées	i n ɔ̃ d e
inouï	i n w i
hé	e
inouïe	i n w i
hébert	e b ɛ ʁ
héla	e l a
hélas	e l a
hélas	e l a s
hélas	e l ɑ
honteuse	ɔ̃ t ø z
inquiet	ɛ̃ c ɛ
horace	ɔ ʁ a s
héraldique	e ʁ a l d i k
inquiète	ɛ̃ c ɛ t
hérissé	e ʁ i s e
inquiétait	ɛ̃ c e t ɛ
horizontale	ɔ ʁ i z ɔ̃ t a l
hérissée	e ʁ i s e
inquiéter	ɛ̃ c e t e
hérita	e ʁ i t a
inquiétude	ɛ̃ c e t y d
hérité	e ʁ i t e
inscription	ɛ̃ s k ʁ i p s j ɔ̃
héros	e ʁ o
inscrit	ɛ̃ s k ʁ i
hostile	ɔ s t i l
inscrivit	ɛ̃ s k ʁ i v i t ɛ
hottée	ɔ t e
insectes	ɛ̃ s ɛ k t
houppelande	u p l ɑ̃ d
insensé	ɛ̃ s ɑ̃ s e
insinua	ɛ̃ s i n ɥ a
huile	ɥ i l
insipide	ɛ̃ s i p i d
huilés	ɥ i l e
insista	ɛ̃ s i s t a
huitièmela	ɥ i t j ɛ m l a
insister	ɛ̃ s i s t e
hésitent	e z i t
hésitât	e z i t ɑ
insistonsy	ɛ̃ s i s t ɔ̃ s i
hôte	o t
humains	y m ɛ̃
insondables	ɛ̃ s ɔ̃ d a b l
hôtel	o t ɛ l
hôtel	ɔ t ɛ l
humblement	ɛ̃ b l ə m ɑ̃
insouciante	ɛ̃ s u s j ɑ̃ t
hurla	y ʁ l a
inspecteurs	ɛ̃ s p ɛ k t œ ʁ
hurlant	y ʁ l ɑ̃
inspection	ɛ̃ s p ɛ k s j ɔ̃
hussards	y s a ʁ
idolâtrer	i d ɔ l ɑ t ʁ e
hutile	y t i l
idée	i d e
inspiration	ɛ̃ s p i ʁ a s j ɔ̃
hutte	y t
installation	ɛ̃ s t a l a s j ɔ̃
hygiène	i ʒ j ɛ n
installé	ɛ̃ s t a l e
hypnotisé	i p n ɔ t i z e
instant	ɛ̃ s t ɑ̃
hâtaient	ɑ t ɛ
instants	ɛ̃ s t ɑ̃
instinct	ɛ̃ s t ɛ̃
hâtonsnous	ɑ t ɔ̃ n u
instinctivement	ɛ̃ s t ɛ̃ k t i v m ɑ̃
ignorant	i ɲ ɔ ʁ ɑ̃
institution	ɛ̃ s t i t y s j ɔ̃
hélène	e l ɛ n
ignore	i ɲ ɔ ʁ
instructions	ɛ̃ s t ʁ y k s j ɔ̃
hérissait	e ʁ i s ɛ
instructive	ɛ̃ s t ʁ y k t i v
ignorés	i ɲ ɔ ʁ e
insu	ɛ̃ s y
hérissées	e ʁ i s e
illisibles	i ʎ i z i b l
héro	e ʁ o
illuminait	i l y m i n ɛ
insulaire	ɛ̃ s y l ɛ ʁ
insultés	ɛ̃ s y l t e
insurgé	ɛ̃ s y ʁ ʒ e
insurgés	ɛ̃ s y ʁ ʒ e
insurrection	ɛ̃ s y ʁ ɛ k s j ɔ̃
inséparable	ɛ̃ s e p a ʁ a b l
inséra	ɛ̃ s e ʁ a
insérée	ɛ̃ s e ʁ e
intarissable	ɛ̃ t a ʁ i s a b l
intelligent	ɛ̃ t e ʎ i ʒ ɑ̃
intelligente	ɛ̃ t e ʎ i ʒ ɑ̃ t
intention	ɛ̃ t ɑ̃ s j ɔ̃
illuminée	i l y m i n e
intentions	ɛ̃ t ɑ̃ s j ɔ̃
héroïsme	e ʁ ɔ i s m
interdite	ɛ̃ t ɛ ʁ d i t
héréditaires	e ʁ e d i t ɛ ʁ
illusions	i l y z j ɔ̃
interlocuteur	ɛ̃ t ɛ ʁ l ɔ k y t œ ʁ
image	i m a ʒ
intermittences	ɛ̃ t ɛ ʁ m i t ɑ̃ s
hésitations	e z i t a s j ɔ̃
imaginable	i m a ʒ i n a b l
intermittent	ɛ̃ t ɛ ʁ m i t
hêtre	ɛ t ʁ
imaginezvous	i m a ʒ i n e v u
intermède	ɛ̃ t ɛ ʁ m ɛ d
intermédiaire	ɛ̃ t ɛ ʁ m e d j ɛ ʁ
interpella	ɛ̃ t ɛ ʁ p e l a
interpella	ɛ̃ t ɛ ʁ p ɛ l a
interrogatoire	ɛ̃ t ɛ ʁ ɔ ɡ a t w a ʁ
imbéciles	ɛ̃ b e s i l
interrogea	ɛ̃ t ɛ ʁ ɔ ʒ a
imitez	i m i t e
interrogerons	ɛ̃ t ɛ ʁ ɔ ʒ ʁ ɔ̃
hôtels	o t ɛ l
hôtels	ɔ t ɛ l
imitée	i m i t e
interrompre	ɛ̃ t ɛ ʁ ɔ̃ p ʁ
interruption	ɛ̃ t ɛ ʁ y p s j ɔ̃
intervalles	ɛ̃ t ɛ ʁ v a l
imminente	i m i n ɑ̃ t
immobilité	i m ɔ b i ʎ i t e
immondices	i m ɔ̃ d i s
idiot	i d j o
intervention	ɛ̃ t ɛ ʁ v ɑ̃ s j ɔ̃
immuable	i m ɥ a b l
intervient	ɛ̃ t ɛ ʁ v i
intervient	ɛ̃ t ɛ ʁ v j ɛ̃
idéal	i d e a l
immédiat	i m e d j a
interviews	ɛ̃ t ɛ ʁ v j u
intestin	ɛ̃ t ɛ s t ɛ̃
idéale	i d e a l
immédiats	i m e d j a
intime	ɛ̃ t i m
immémorial	i m e m ɔ ʁ j a l
intimes	ɛ̃ t i m
idéepardieu	i d e e p a ʁ d j ø
idéepardieu	i d e p a ʁ d j ø
idéepardieu	i d e ɛ p a ʁ d j ø
imparfaite	ɛ̃ p a ʁ f ɛ t
intitulaient	ɛ̃ t i t y l ɛ
ignorance	i ɲ ɔ ʁ ɑ̃ s
introuvable	ɛ̃ t ʁ u v a b l
impatience	ɛ̃ p a s j ɑ̃ s
intrépide	ɛ̃ t ʁ e p i d
ignorer	i ɲ ɔ ʁ e
imperceptible	ɛ̃ p ɛ ʁ s ɛ p t i b l
intuition	ɛ̃ t ɥ i s j ɔ̃
ignorée	i ɲ ɔ ʁ e
imperturbable	ɛ̃ p ɛ ʁ t y ʁ b a b l
intéressait	ɛ̃ t e ʁ
intéressait	ɛ̃ t e ʁ a s ɛ
intéressait	ɛ̃ t e ʁ e s ɛ
intéressait	ɛ̃ t e ʁ s ɛ
intéressait	ɛ̃ t e ʁ z ɛ
intéressait	ɛ̃ t e ʁ ɛ
intéressait	ɛ̃ t e ʁ ɛ s ɛ
iliade	i ʎ a d
intéressante	ɛ̃ t e ʁ ɛ s ɑ̃ t
illogique	i l ɔ ʒ i k
impitoyable	ɛ̃ p i t w a j a b l
intéressera	ɛ̃ t e ʁ e s ə ʁ a
illuminent	i l y m i n ɑ̃
impl	ɛ̃ p l
intérieur	ɛ̃ t e ʁ j œ ʁ
intérieure	ɛ̃ t e ʁ j œ ʁ
intérieurement	ɛ̃ t e ʁ j œ ʁ m ɑ̃
illusion	i l y z j ɔ̃
illustre	i l y s t ʁ
images	i m a ʒ
intérieurs	ɛ̃ t e ʁ j œ ʁ
imaginait	i m a ʒ i n ɛ
intérêt	ɛ̃ t e ʁ ɛ
imaginée	i m a ʒ i n e
implacables	ɛ̃ p l a k a b l
inusitée	i n y z i t e
imbibée	ɛ̃ b i b e
imploratelle	ɛ̃ p l ɔ ʁ a t ɛ l
inutile	i n y t i l
inutiles	i n y t i l
importants	ɛ̃ p ɔ ʁ t ɑ̃
importuné	ɛ̃ p ɔ ʁ t y n e
impossibilité	ɛ̃ p ɔ s i b i ʎ i t e
impossibles	ɛ̃ p ɔ s i b l
impression	ɛ̃ p ʁ ɛ s j ɔ̃
impressions	ɛ̃ p ʁ ɛ s j ɔ̃
imprimé	ɛ̃ p ʁ i m e
imprimés	ɛ̃ p ʁ i m e
improvisation	ɛ̃ p ʁ ɔ v i z a s j ɔ̃
imite	i m i t
imprégnés	ɛ̃ p ʁ e ɲ e
invalides	ɛ̃ v a ʎ i d
imité	i m i t e
invariablement	ɛ̃ v a ʁ j a b l ə m ɑ̃
impudeurs	ɛ̃ p y d œ ʁ
inverse	ɛ̃ v ɛ ʁ s
immeuble	i m œ b l
impur	ɛ̃ p y ʁ
invincible	ɛ̃ v ɛ̃ s i b l
inviolable	ɛ̃ v j ɔ l a b l
impériale	ɛ̃ p e ʁ j a l
impériale	ɛ̃ p ɛ ʁ j a l
invisible	ɛ̃ v i z i b l
impétueusement	ɛ̃ p e t ɥ ø z m ɑ̃
invisibles	ɛ̃ v i z i b l
involontairement	ɛ̃ v ɔ l ɔ̃ t ɛ ʁ m ɑ̃
invulnérable	ɛ̃ v y l n e ʁ a b l
inégal	i n e ɡ a l
inachevé	i n a ʃ v e
inégale	i n e ɡ a l
inadmissible	i n a d m i s i b l
immobilisant	i m ɔ b i ʎ i z ɑ̃
inégalité	i n e ɡ a ʎ i t e
immonditielle	i m ɔ̃ d i s j ɛ l
immonditielle	i m ɔ̃ d i s s j ɛ l
immortel	i m ɔ ʁ t ɛ l
immuablement	i m ɥ a b l ə m ɑ̃
inévitable	i n e v i t a b l
inattendue	i n a t ɑ̃ d y
inévitablement	i n e v i t a b l ə m ɑ̃
impassibilité	ɛ̃ p a s i b i ʎ i t e
incapable	ɛ̃ k a p a b l
incapable	ɛ̃ k a p a s a b l
ironie	i ʁ ɔ ɲ i
impatient	ɛ̃ p a s j ɑ̃
incendies	ɛ̃ s ɑ̃ d i
ironiques	i ʁ ɔ ɲ i k
incident	ɛ̃ s i d ɑ̃
irons	i ʁ ɔ̃
imperceptibles	ɛ̃ p ɛ ʁ s ɛ p t i b l
inclina	ɛ̃ k ʎ i n a
irrita	i ʁ i t a
impersonnelle	ɛ̃ p ɛ ʁ s ɔ n ɛ l
incliner	ɛ̃ k ʎ i n e
irritaient	i ʁ i t ɛ
irriter	i ʁ i t e
incognito	ɛ̃ k ɔ ɲ i t o
irrités	i ʁ i t e
irréel	i ʁ e ɛ l
impitoyablement	ɛ̃ p i t w a j a b l ə m ɑ̃
irréfragable	i ʁ e f ʁ a ɡ a b l
incolore	ɛ̃ k ɔ l ɔ ʁ
implique	ɛ̃ p ʎ i k
irréligieux	i ʁ e ʎ i ʒ j ø
incommodes	ɛ̃ k ɔ m ɔ d
implore	ɛ̃ p l ɔ ʁ
irréparable	i ʁ e p a ʁ a b l
incomplet	ɛ̃ k ɔ̃ p l ɛ
irréprochable	i ʁ e p ʁ ɔ ʃ a b l
incomplets	ɛ̃ k ɔ̃ p l ɛ
irréprochables	i ʁ e p ʁ ɔ ʃ a b l
irrésistiblement	i ʁ e z i s t i b l ə m ɑ̃
inconnu	ɛ̃ k ɔ n y
irrévocable	i ʁ e v ɔ k a b l
isolées	i z ɔ l e
importantes	ɛ̃ p ɔ ʁ t ɑ̃ t
issue	i s y
imposant	ɛ̃ p o z ɑ̃
inconnus	ɛ̃ k ɔ n y s
issues	i s y
italien	i t a ʎ ɛ̃
incontestablement	ɛ̃ k ɔ̃ t ɛ s t a b l ə m ɑ̃
ivre	i v ʁ
imposé	ɛ̃ p o z e
incorruptibles	ɛ̃ k ɔ ʁ y p t i b l
ivresse	i v ʁ ɛ s
ix	i
ix	i k s
j'accompagne	ʒ k ɔ̃ p a ɲ
j'allais	ʒ a l ɛ
j'atends	ʒ t ɑ̃
incrusté	ɛ̃ k ʁ y s t e
imposées	ɛ̃ p o z e
j'entendais	ʒ s ɑ̃ t ɑ̃ d ɛ
j'entendais	ʒ ɑ̃ t ɑ̃ d ɛ
incultes	ɛ̃ k y l t
j'espérais	ʒ ɛ s p e ʁ ɛ
indemnité	ɛ̃ d ɛ m ɲ i t e
j'obéirai	ʒ ɔ b e i ʁ e
imprimées	ɛ̃ p ʁ i m e
j'y	ʒ i
indication	ɛ̃ d i k a s j ɔ̃
improvisée	ɛ̃ p ʁ ɔ v i z e
j'étais	ʒ e t ɛ
jacasse	ʒ a k a s
jadis	ʒ a d i
jaillit	ʒ a j i
jais	ʒ
jais	ʒ ɛ
jalouse	ʒ a l u z
jalousies	ʒ a l u z i
imprudente	ɛ̃ p ʁ y d ɑ̃ t
impuissants	ɛ̃ p ɥ i s ɑ̃
impérial	ɛ̃ p e ʁ j a l
impérial	ɛ̃ p ɛ ʁ j a l
impérieuse	ɛ̃ p e ʁ j ø z
indice	ɛ̃ d i s
jamais	ʒ a m e
jamais	ʒ a m ɛ
in	i n
in	ɛ̃
indicible	ɛ̃ d i s i b l
jambes	ʒ ɑ̃ b
inoctavo	i n ɔ k t a v o
indifférente	ɛ̃ d i f e ʁ ɑ̃ t
janot	ʒ a n o
indignation	ɛ̃ d i ɲ a s j ɔ̃
indignité	ɛ̃ d i ɲ i t e
indigènes	ɛ̃ d i ʒ ɛ n
indiquant	ɛ̃ d i k ɑ̃
indiquerai	ɛ̃ d i k ʁ e
inanimé	i n a ɲ i m e
japonais	ʒ a p ɔ n ɛ
indiquées	ɛ̃ d i c e
jardin	ʒ a ʁ d ɛ̃
inattaquable	i n a t a k a b l
indiscrétion	ɛ̃ d i s k ʁ e s j ɔ̃
jardiniers	ʒ a ʁ d i ɲ e
inavouée	i n a v w e
jarretière	ʒ a ʁ t j ɛ ʁ
incalculable	ɛ̃ k a l k y l a b l
jarrets	ʒ a ʁ ɛ
indistinctes	ɛ̃ d i s t ɛ̃ k t
jaser	ʒ a z e
jaser	ʒ ɑ z e
jaune	ʒ o n
inclinaison	ɛ̃ k ʎ i n ɛ z ɔ̃
individuelles	ɛ̃ d i v i d ɥ ɛ l
jaunis	ʒ o ɲ i
incohérent	ɛ̃ k ɔ e ʁ ɑ̃
incommutable	ɛ̃ k ɔ m y t a b l
indomptable	ɛ̃ d ɔ̃ t a b l
indulgence	ɛ̃ d y l ʒ ɑ̃ s
industrie	ɛ̃ d y s t ʁ i
indécisions	ɛ̃ d e s i z j ɔ̃
inerte	i n ɛ ʁ t
inertes	i n ɛ ʁ t
jeanne	ʒ a n
inconscient	ɛ̃ k ɔ̃ s j ɑ̃
jecur	ʒ e k œ ʁ
jecur	ʒ ə k y ʁ
jetait	ʒ t ɛ
jetait	ʒ ə t ɛ
inconvénient	ɛ̃ k ɔ̃ v e ɲ ɑ̃
inexplicables	i n ɛ k s p ʎ i k a b l
jetez	ʒ ə t e
incorruptible	ɛ̃ k ɔ ʁ y p t i b l
jets	ʒ ɛ
incroyables	ɛ̃ k ʁ w a j a b l
jettent	ʒ ɛ t
incrédule	ɛ̃ k ʁ e d y l
jetée	ʒ ə t e
indes	ɛ̃ d
infamies	ɛ̃ f a m i
jeu	ʒ ø
jeun	ʒ œ n
jeune	ʒ œ n
indescriptible	ɛ̃ d ɛ s k ʁ i p t i b l
infects	ɛ̃ f ɛ k
jeunesse	ʒ œ n ɛ s
indices	ɛ̃ d i s
infini	ɛ̃ f i ɲ i
jeux	ʒ ø
indifférence	ɛ̃ d i f e ʁ ɑ̃ s
infinie	ɛ̃ f i ɲ i
john	ʒ ɔ n
joie	ʒ w a
inflexible	ɛ̃ f l ɛ k s i b l
infliger	ɛ̃ f ʎ i ʒ e
indiquait	ɛ̃ d i c ɛ
influences	ɛ̃ f l y ɑ̃ s
influé	ɛ̃ f l y e
indiquer	ɛ̃ d i c e
indiquèrent	ɛ̃ d i c ɛ ʁ
joies	ʒ w a
indiscipline	ɛ̃ d i s i p ʎ i n
joignant	ʒ w a ɲ ɑ̃
infortune	ɛ̃ f ɔ ʁ t y n
indiscutable	ɛ̃ d i s k y t a b l
joli	ʒ ɔ ʎ i
infranchissables	ɛ̃ f ʁ ɑ̃ ʃ i s a b l
indissoluble	ɛ̃ d i s ɔ l y b l
inférieurs	ɛ̃ f e ʁ j œ ʁ
jolie	ʒ ɔ ʎ i
ingénieux	ɛ̃ ʒ e ɲ ø
jolis	ʒ ɔ ʎ i
ingénument	ɛ̃ ʒ e n y m
ingénument	ɛ̃ ʒ e n y m ɑ̃
joly	ʒ ɔ ʎ i
inhospitalité	i n ɔ s p i t a ʎ i t e
individualité	ɛ̃ d i v i d ɥ a ʎ i t e
jonction	ʒ ɔ̃ k s j ɔ̃
initiales	i ɲ i s j a l
jondrette	ʒ ɔ̃ d ʁ ɛ t
jouaient	ʒ w ɛ
joue	ʒ u
injonctions	ɛ̃ ʒ ɔ̃ k s j ɔ̃
jouetil	ʒ u t i
jouetil	ʒ w e t i
jouetil	ʒ w t i
innocence	i n ɔ s ɑ̃ s
indéfini	ɛ̃ d e f i ɲ i
joues	ʒ u
indéfinissable	ɛ̃ d e f i ɲ i s a b l
joueur	ʒ w œ ʁ
jouissaient	ʒ w i s ɛ
jouons	ʒ u w ɔ̃
jouons	ʒ w ɔ̃
jourlà	ʒ u ʁ l a
journal	ʒ u ʁ n a l
journalistes	ʒ u ʁ n a ʎ i s t
journaux	ʒ u ʁ n o
inespérée	i n ɛ s p e ʁ e
inexpugnable	i n ɛ k s p y ɲ a b l
infamante	ɛ̃ f a m ɑ̃ t
infamie	ɛ̃ f a m i
infatigable	ɛ̃ f a t i ɡ a b l
infernal	ɛ̃ f ɛ ʁ n a l
inodore	i n ɔ d ɔ ʁ
infirmières	ɛ̃ f i ʁ mʲ ɛ ʁ
journées	ʒ u ʁ n e
inondait	i n ɔ̃ d ɛ
inflexions	ɛ̃ f l ɛ k s j ɔ̃
jourslà	ʒ u ʁ s l a
inonde	i n ɔ̃ d
influencée	ɛ̃ f l y ɑ̃ s e
joya	ʒ w a j a
joya	ʒ w ɛ j a
joya	ʒ ɔ j a
inondé	i n ɔ̃ d e
informations	ɛ̃ f ɔ ʁ m a s j ɔ̃
joyau	ʒ w a j o
inopinément	i n ɔ p i n e m ɑ̃
infortuné	ɛ̃ f ɔ ʁ t y n e
joyeuse	ʒ w a j ø z
infusoires	ɛ̃ f y z w a ʁ
joyeusement	ʒ w a j ø z m ɑ̃
inqualifiable	ɛ̃ k a ʎ i f j a b l
jubilez	ʒ y b i l e
inquiétant	ɛ̃ c e t ɑ̃
judengasse	ʒ y d ɑ̃ ɡ a s
inquiétez	ɛ̃ c e t e
inférieure	ɛ̃ f e ʁ j œ ʁ
judicieusement	ʒ y d i s j ø z m ɑ̃
inquiétés	ɛ̃ c e t e
ingrat	ɛ̃ ɡ ʁ a
juges	ʒ y ʒ
ingrats	ɛ̃ ɡ ʁ a
jugé	ʒ y ʒ e
ingénuité	ɛ̃ ʒ e n ɥ i t e
jugée	ʒ y ʒ e
inscrivait	ɛ̃ s k ʁ i v ɛ
ingénus	ɛ̃ ʒ e n y s
juillet	ʒ y ʎ ɛ t
juillet	ʒ ɥ i j ɛ
inhabitée	i n a b i t e
juive	ʒ ɥ i v
insensiblement	ɛ̃ s ɑ̃ s i b l ə m ɑ̃
juiverie	ʒ ɥ i v ʁ i
injonction	ɛ̃ ʒ ɔ̃ k s j ɔ̃
jurait	ʒ y ʁ ɛ
injuste	ɛ̃ ʒ y s t
jure	ʒ y ʁ
insistons	ɛ̃ s i s t ɔ̃
innocent	i n ɔ s ɑ̃
insondable	ɛ̃ s ɔ̃ d a b l
juronlà	ʒ y ʁ ɔ̃ l a
juronlà	ʒ y ʁ ɔ̃ s l a
insouciant	ɛ̃ s u s j ɑ̃
jusqu'alors	ʒ y s k a l ɔ ʁ
jusqu'aux	ʒ y s k o
jusqu'aux	ʒ y s k o o
jusqu'à	ʒ y s k a
inoffensives	i n ɔ f ɑ̃ s i v
jusquelà	ʒ y s k ə l a
inondée	i n ɔ̃ d e
jusquau	ʒ y s k o
inspectèrent	ɛ̃ s p ɛ k t ɛ ʁ
jusquici	ʒ y s k o i
jusquici	ʒ y s k ɥ i s i
juste	ʒ y s t
installer	ɛ̃ s t a l e
justement	ʒ y s t ə m ɑ̃
instantlà	ɛ̃ s t ɑ̃ s l a
inquiéta	ɛ̃ c e t a
justice	ʒ y s t i s
inquiétants	ɛ̃ c e t ɑ̃
insaisissable	ɛ̃ a b l
insaisissable	ɛ̃ s e z i s a b l
insaisissable	ɛ̃ s ɛ z i s a b l
justifierait	ʒ y s t i f i ʁ ɛ
institutions	ɛ̃ s t i t y s j ɔ̃
inscrivant	ɛ̃ s k ʁ i v ɑ̃
jérôme	ʒ e ʁ o m
insensible	ɛ̃ s ɑ̃ s i b l
jésuites	ʒ e s ɥ i t
instruments	ɛ̃ s t ʁ y m ɑ̃
insignifiantes	ɛ̃ s i ɲ i f j ɑ̃ t
jésuschrist	ʒ e z y s k ʁ i
insultait	ɛ̃ s y l t ɛ
insiste	ɛ̃ s i s t
jaccuse	ʒ a k y z
jadmire	ʒ a d m i ʁ
jagis	ʒ a ʒ i
jai	ʒ e
jai	ʒ ɛ
jaime	ʒ ɛ m
jajouterai	ʒ a ʒ u t ʁ e
jappelle	ʒ a p ɛ l
jappris	ʒ a p ʁ i
jattendrai	ʒ a t ɑ̃ d ʁ e
javais	ʒ a v ɛ
insomnies	ɛ̃ s ɔ m ɲ i
jemmènerai	ʒ ɑ̃ m ɛ n ʁ e
jemmènerai	ʒ ɛ m ɛ n ʁ e
insouciance	ɛ̃ s u s j ɑ̃ s
jenvie	ʒ ɑ̃ v i
insoumis	ɛ̃ s u m i
insoumis	ɛ̃ s u m i s
insurrections	ɛ̃ s y ʁ ɛ k s j ɔ̃
jestime	ʒ ɛ s t i m
intacte	ɛ̃ t a k t
jexpose	ʒ e k s p o z
jexpose	ʒ ɛ k s p o z
inspectez	ɛ̃ s p ɛ k t e
intelligence	ɛ̃ t e ʎ i ʒ ɑ̃ s
jignorais	ʒ i ɲ ɔ ʁ ɛ
jinsiste	ʒ ɛ̃ s i s t
inspirait	ɛ̃ s p i ʁ ɛ
intelligible	ɛ̃ t e ʎ i ʒ i b l
intelligible	ɛ̃ t ɛ ʎ i ʒ i b l
jirai	ʒ i ʁ e
installa	ɛ̃ s t a l a
joubliais	ʒ u b ʎ i j ɛ
interdit	ɛ̃ t ɛ ʁ d i
jy	ʒ i
installés	ɛ̃ s t a l e
jécoute	ʒ e k u t
interminables	ɛ̃ t ɛ ʁ m i n a b l
jétais	ʒ e t ɛ
instinctif	ɛ̃ s t ɛ̃ k t i f
kekhscheb	c e k c ɛ b
kekhscheb	c e k s c ɛ b
kekhscheb	c e k ɛ b
kekhscheb	c e k ʃ ɛ b
instincts	ɛ̃ s t ɛ̃
kilomètres	c i l ɔ m ɛ t ʁ
intermédiaires	ɛ̃ t ɛ ʁ m e d j ɛ ʁ
kiosques	c ɔ s k
interpeller	ɛ̃ t ɛ ʁ p ɛ l e
l'abandonné	l a b ɑ̃ d ɔ n e
l'abeille	l a b ɛ j
l'abeille	l b ɛ j
interrogeant	ɛ̃ t ɛ ʁ ɔ ʒ ɑ̃
instruit	ɛ̃ s t ʁ ɥ i
l'abordage	l a b ɔ ʁ d a ʒ
interrompant	ɛ̃ t ɛ ʁ ɔ̃ p ɑ̃
l'abri	l a b ʁ i
insufflait	ɛ̃ s y f l ɛ
l'absence	l a p s ɑ̃ s
intersection	ɛ̃ t ɛ ʁ s ɛ k s j ɔ̃
insulte	ɛ̃ s y l t
l'abîme	l a b i m
intervenu	ɛ̃ t ɛ ʁ v ə n y
interview	ɛ̃ t ɛ ʁ v j u
intervint	ɛ̃ t ɛ ʁ v ɛ̃
intestinale	ɛ̃ t ɛ s t i n a l
intitulé	ɛ̃ t i t y l e
intrigué	ɛ̃ t ʁ i ɟ e
intrigué	ɛ̃ t ʁ i ɡ ɥ e
introduit	ɛ̃ t ʁ ɔ d ɥ i
intrus	ɛ̃ t ʁ y s
intrépidement	ɛ̃ t ʁ e p i d m ɑ̃
intéressaient	ɛ̃ t e ʁ s ɛ
intéressaient	ɛ̃ t e ʁ ɛ
intéresse	ɛ̃ t e ʁ ɛ s
intéressent	ɛ̃ t e ʁ s
intéressent	ɛ̃ t e ʁ ɛ
intéressent	ɛ̃ t e ʁ ɛ s
intéressés	ɛ̃ t e ʁ ɛ s e
l'accablait	l k ɑ b l ɛ
l'accablement	l k a b l ə m ɑ̃
l'accablement	l k ɑ b l ə m ɑ̃
l'acceptait	l a k s e s ɛ p t ɛ
l'acceptait	l a k s ɛ p t ɛ
l'acceptent	l a k s e s ɛ p t
l'acceptent	l a k s ɛ p t
inusité	i n y z i t e
l'accomplissement	l k ɔ̃ p ʎ i s m ɑ̃
intangible	ɛ̃ t ɑ̃ ʒ i b l
l'acharnement	l a k a ʁ n ə m ɑ̃
l'acropole	l a k ʁ ɔ p ɔ l
inutilité	i n y t i ʎ i t e
l'adige	l a d i ʒ
intense	ɛ̃ t ɑ̃ s
l'admettait	l a d m ɛ t ɛ
invasion	ɛ̃ v a z j ɔ̃
l'admiration	l a d m i ʁ a s j ɔ̃
l'admiration	l d m i ʁ a s j ɔ̃
inventions	ɛ̃ v ɑ̃ s j ɔ̃
l'adoration	l a d ɔ ʁ a s j ɔ̃
interdits	ɛ̃ t ɛ ʁ d i
l'affaire	l a f ɛ ʁ
interloqué	ɛ̃ t ɛ ʁ l ɔ c e
l'affût	l a f y
interminable	ɛ̃ t ɛ ʁ m i n a b l
l'afrique	l a f ʁ i k
l'agneau	l a ɲ o
l'agneau	l ɲ o
l'agonie	l a ɡ ɔ ɲ i
l'agrandissement	l a ɡ ʁ ɑ̃ d i s m ɑ̃
l'aime	l ɛ m
invités	ɛ̃ v i t e
l'air	l ɛ ʁ
intermittents	ɛ̃ t ɛ ʁ m i t ɑ̃
involutum	ɛ̃ v ɔ l y t ɔ m
l'aisance	l s
l'aisance	l ɛ z ɑ̃ s
l'alcôve	l a l k o v
interne	ɛ̃ t ɛ ʁ n
l'allégresse	l a l e ɡ ʁ ɛ s
invraisemblable	ɛ̃ v ʁ ɛ s ɑ̃ b l a b l
interpellait	ɛ̃ t ɛ ʁ p ɛ l ɛ
interrogatoires	ɛ̃ t ɛ ʁ ɔ ɡ a t w a ʁ
interrogés	ɛ̃ t ɛ ʁ ɔ ʒ e
interrompit	ɛ̃ t ɛ ʁ ɔ̃ p i
l'ambulance	l ɑ̃ b y l ɑ̃ s
interversion	ɛ̃ t ɛ ʁ v ɛ ʁ s j ɔ̃
l'amie	l a m i
l'ammoniaque	l a m ɔ ɲ a k
interviewa	ɛ̃ t ɛ ʁ v j u w a
inégales	i n e ɡ a l
l'amphore	l ɑ̃ f ɔ ʁ
