dijo	d̪ i x o
impasible	i m p a s i β l e
impedido	i m p e ð i ð o
histórico	i s t̪ o ɾ i k o
impedimento	i m p e ð i m e n t̪ o
hermanoallá	e r m a n o a ʎ a
hermanoallá	e r m a n o ʎ a
impedirnos	i m p e ð i r n o s
hocico	o θ i k o
impedían	i m p e ð i a n
hermanuco	e r m a n u k o
hogar	o ɣ a ɾ
impedírselo	i m p e ð i r s e l o
impelidos	i m p e l i ð o s
impera	i m p e ɾ a
imperfectamente	i m p e r f e ɣ t̪ a m e n t̪ e
imperial	i m p e ɾ j a l
imperiales	i m p e ɾ j a l e s
hojarasca	o x a ɾ a s k a
holgadamente	o l ɣ a ð a m e n t̪ e
holgazanes	o l ɣ a θ a n e s
imperio	i m p e ɾ j o
hollado	o ʎ a ð o
imperios	i m p e ɾ j o s
hermosísimos	e r m o s i s i m o s
heroico	e ɾ o i k o
imperiosamente	i m p e ɾ j o s a m e n t̪ e
heroicos	e ɾ o i k o s
herradura	e r a ð u ɾ a
impertinente	i m p e r t̪ i n e n t̪ e
herrería	e r e ɾ i a
imperturbable	i m p e r t̪ u r β a β l e
impetuosa	i m p e t̪ w o s a
impetuosidades	i m p e t̪ w o s i ð a ð e s
impetuoso	i m p e t̪ w o s o
impide	i m p i ð e
impidieron	i m p i ð j e ɾ o n
hespérico	e s p e ɾ i k o
homenaje	o m e n a ç e
honda	o n d̪ a
hondo	o n d̪ o
impidió	i m p i ð j o
implacable	i m p l a k a β l e
implacablemente	i m p l a k a β l e m e n t̪ e
hondísima	o n d̪ i s i m a
hidra	i ð ɾ a
hielo	ɟʝ e l o
imponente	i m p o n e n t̪ e
imponerme	i m p o n e r m e
higiénicamente	i x j e n i k a m e n t̪ e
importa	i m p o r t̪ a
importancia	i m p o r t̪ a n θ j a
honrando	o n r a n d̪ o
honrosa	o n r o s a
importante	i m p o r t̪ a n t̪ e
importantísima	i m p o r t̪ a n t̪ i s i m a
hilacha	i l a tʃ a
honrosamente	o n r o s a m e n t̪ e
hileras	i l e ɾ a s
importuno	i m p o r t̪ u n o
horadaba	o ɾ a ð a β a
imposibilidades	i m p o s i β i l i ð a ð e s
hinchadas	i n tʃ a ð a s
imposibilitado	i m p o s i β i l i t̪ a ð o
imposible	i m p o s i β l e
hipocresía	i p o k ɾ e s i a
hipoteca	i p o t̪ e k a
horizontalmente	o ɾ i θ o n t̪ a l m e n t̪ e
hormigas	o r m i ɣ a s
hormiguita	o r m i ʝ i t̪ a
hissopo	i s o p o
imposta	i m p o s t̪ a
horrenda	o r e n d̪ a
imprecaciones	i m p ɾ e k a θ j o n e s
horriblemente	o r i β l e m e n t̪ e
imprecación	i m p ɾ e k a θ j o n
horripilado	o r i p i l a ð o
impremeditación	i m p ɾ e m e ð i t̪ a θ j o n
imprenta	i m p ɾ e n t̪ a
impresas	i m p ɾ e s a s
impresionable	i m p ɾ e s j o n a β l e
impresionada	i m p ɾ e s j o n a ð a
impresionar	i m p ɾ e s j o n a ɾ
hito	i t̪ o
hoces	o θ e s
impresiones	i m p ɾ e s j o n e s
impreso	i m p ɾ e s o
hogares	o ɣ a ɾ e s
imprevista	i m p ɾ e β i s t̪ a
imprime	i m p ɾ i m e
imprimían	i m p ɾ i m i a n
horroroso	o r o ɾ o s o
hoja	o x a
improvisado	i m p ɾ o β i s a ð o
improviso	i m p ɾ o β i s o
imprudencias	i m p ɾ u ð e n θ j a s
impulsada	i m p u l s a ð a
impulsará	i m p u l s a ɾ a
impulsos	i m p u l s o s
impuso	i m p u s o
imputaciones	i m p u t̪ a θ j o n e s
hospicio	o s p i θ j o
hojea	o ç e a
imágenes	i m a ç e n e s
holgada	o l ɣ a ð a
inaccesibles	i n a ɣ θ e s i β l e s
inagotable	i n a ɣ o t̪ a β l e
inarmónicos	i n a r m o n i k o s
hospitalarios	o s p i t̪ a l a ɾ j o s
inaudita	i n a u ð i t̪ a
hostigarme	o s t̪ i ɣ a r m e
hostilizarnos	o s t̪ i l i θ a r n o s
hubieran	u β j e ɾ a n
hubieron	u β j e ɾ o n
hubimos	u β i m o s
hubiérame	u β j e ɾ a m e
hueca	w e k a
inauditos	i n a u ð i t̪ o s
huella	w e ʎ a
huerto	w e r t̪ o
incansables	i ŋ k a n s a β l e s
incendiados	i n θ e n d̪ j a ð o s
huesosa	w e s o s a
incendiaron	i n θ e n d̪ j a ɾ o n
incesante	i n θ e s a n t̪ e
incesantes	i n θ e s a n t̪ e s
incidentes	i n θ i ð e n t̪ e s
incitativos	i n θ i t̪ a t̪ i β o s
inclinaba	i ŋ k l i n a β a
inclinada	i ŋ k l i n a ð a
inclinarle	i ŋ k l i n a r l e
inclino	i ŋ k l i n o
inclinó	i ŋ k l i n o
incoloros	i ŋ k o l o ɾ o s
incomodemos	i ŋ k o m o ð e m o s
incomparable	i ŋ k o m p a ɾ a β l e
incomprensibles	i ŋ k o m p ɾ e n s i β l e s
inconexas	i ŋ k o n e ɣ s a s
inconmensurable	i ŋ k o m e n s u ɾ a β l e
incontestable	i ŋ k o n t̪ e s t̪ a β l e
huevos	w e β o s
incontinenti	i ŋ k o n t̪ i n e n t̪ i
incorporaba	i ŋ k o r p o ɾ a β a
incorporados	i ŋ k o r p o ɾ a ð o s
huir	u i ɾ
huir	w i ɾ
incorporarse	i ŋ k o r p o ɾ a r s e
homenajes	o m e n a ç e s
homúnculos	o m u ŋ k u l o s
hondos	o n d̪ o s
honesta	o n e s t̪ a
incorporé	i ŋ k o r p o ɾ e
honorable	o n o ɾ a β l e
humanista	u m a n i s t̪ a
incorrecto	i ŋ k o r e ɣ t̪ o
humano	u m a n o
increíble	i ŋ k ɾ e i β l e
humanos	u m a n o s
incurrido	i ŋ k u r i ð o
humedeciendo	u m e ð e θ j e n d̪ o
incómodo	i ŋ k o m o ð o
indagaciones	i n d̪ a ɣ a θ j o n e s
humildemente	u m i l d̪ e m e n t̪ e
indecisa	i n d̪ e θ i s a
honradísimos	o n r a ð i s i m o s
humillante	u m i ʎ a n t̪ e
indecisión	i n d̪ e θ i s j o n
indeciso	i n d̪ e θ i s o
honrarme	o n r a r m e
indefenso	i n d̪ e f e n s o
humos	u m o s
hundida	u n d̪ i ð a
indefensos	i n d̪ e f e n s o s
hundieran	u n d̪ j e ɾ a n
honró	o n r o
indemnización	i n d̪ e m n i θ a θ j o n
hundirse	u n d̪ i r s e
indescriptible	i n d̪ e s k ɾ i β t̪ i β l e
hundía	u n d̪ i a
indicaba	i n d̪ i k a β a
huracán	u ɾ a k a n
indicadas	i n d̪ i k a ð a s
indican	i n d̪ i k a n
huyen	u ʝ e n
indicar	i n d̪ i k a ɾ
huyese	u ʝ e s e
indicaron	i n d̪ i k a ɾ o n
indicio	i n d̪ i θ j o
huérfanos	w e r f a n o s
indicome	i n d̪ i k o m e
indiferencia	i n d̪ i f e ɾ e n θ j a
indiferente	i n d̪ i f e ɾ e n t̪ e
indigna	i n d̪ i ɣ n a
huían	u i a n
hormiga	o r m i ɣ a
hornillo	o r n i ʎ o
hábil	a β i l
indignación	i n d̪ i ɣ n a θ j o n
indignada	i n d̪ i ɣ n a ð a
hábito	a β i t̪ o
hábitos	a β i t̪ o s
indignas	i n d̪ i ɣ n a s
háganlo	a ɣ a n l o
háganlo	a ɣ n l o
indigno	i n d̪ i ɣ n o
indique	i n d̪ i c e
indirecta	i n d̪ i ɾ e ɣ t̪ a
indiscreción	i n d̪ i s k ɾ e θ j o n
indiscreto	i n d̪ i s k ɾ e t̪ o
horrorizada	o r o ɾ i θ a ð a
híbrida	i β ɾ i ð a
hízome	i θ o m e
húmedo	u m e ð o
indispensable	i n d̪ i s p e n s a β l e
indispuesta	i n d̪ i s p w e s t̪ a
individuo	i n d̪ i β i ð w o
individuos	i n d̪ i β i ð w o s
horrorosos	o r o ɾ o s o s
ibais	i β a i s
icirle	i θ i r l e
induce	i n d̪ u θ e
idealidad	i ð e a l i ð a ð
horteras	o r t̪ e ɾ a s
indudable	i n d̪ u ð a β l e
identificar	i ð e n t̪ i f i k a ɾ
indujo	i n d̪ u x o
idolatrada	i ð o l a t̪ ɾ a ð a
indultar	i n d̪ u l t̪ a ɾ
indumentario	i n d̪ u m e n t̪ a ɾ j o
inefable	i n e f a β l e
inequívoca	i n e c i β o k a
ignominiosa	i ɣ n o m i ɲ j o s a
inerte	i n e r t̪ e
hostigaban	o s t̪ i ɣ a β a n
hostil	o s t̪ i l
ignorada	i ɣ n o ɾ a ð a
inesperadas	i n e s p e ɾ a ð a s
hostilizar	o s t̪ i l i θ a ɾ
ignorados	i ɣ n o ɾ a ð o s
inestimable	i n e s t̪ i m a β l e
inexpertos	i n e k s p e r t̪ o s
inexplicable	i n e k s p l i k a β l e
inexplicables	i n e k s p l i k a β l e s
infalible	i n f a l i β l e
infame	i n f a m e
infancia	i n f a n θ j a
infantería	i n f a n t̪ e ɾ i a
hoyo	o ʝ o
hoz	o θ
infantes	i n f a n t̪ e s
hubiera	u β j e ɾ a
ignorara	i ɣ n o ɾ a ɾ a
hubieras	u β j e ɾ a s
infatigable	i n f a t̪ i ɣ a β l e
infelices	i n f e l i θ e s
ignorará	i ɣ n o ɾ a ɾ a
hubiesen	u β j e s e n
infeliz	i n f e l i θ
ignoto	i ɣ n o t̪ o
igual	i ɣ w a l
hubiérala	u β j e ɾ a l a
hubo	u β o
inferioridad	i n f e ɾ j o ɾ i ð a ð
iguale	i ɣ w a l e
infernal	i n f e r n a l
infernales	i n f e r n a l e s
ilesas	i l e s a s
ilumina	i l u m i n a
huellas	w e ʎ a s
iluminaban	i l u m i n a β a n
infierno	i n f j e r n o
huertos	w e r t̪ o s
huesos	w e s o s
huesoso	w e s o s o
infinita	i n f i n i t̪ a
infinito	i n f i n i t̪ o
infinitos	i n f i n i t̪ o s
inflamación	i n f l a m a θ j o n
inflamadas	i n f l a m a ð a s
iluminando	i l u m i n a n d̪ o
inflexiones	i n f l e ɣ s j o n e s
iluminaron	i l u m i n a ɾ o n
influencia	i n f l w e n θ j a
ilusión	i l u s j o n
informalidades	i n f o r m a l i ð a ð e s
informaré	i n f o r m a ɾ e
informes	i n f o r m e s
informándome	i n f o r m a n d̪ o m e
humildad	u m i l d̪ a ð
ilusorio	i l u s o ɾ j o
infortunio	i n f o r t̪ u ɲ j o
imaginación	i m a ç i n a θ j o n
infructuosas	i n f ɾ u ɣ t̪ w o s a s
infundido	i n f u n d̪ i ð o
infundiese	i n f u n d̪ j e s e
imaginaria	i m a ç i n a ɾ j a
infundió	i n f u n d̪ j o
humildísimo	u m i l d̪ i s i m o
infundíame	i n f u n d̪ i a m e
humillados	u m i ʎ a ð o s
imbéciles	i m b e θ i l e s
ingenieros	i ɲ ç e ɲ j e ɾ o s
imitando	i m i t̪ a n d̪ o
impaciente	i m p a θ j e n t̪ e
impacientes	i m p a θ j e n t̪ e s
impasibilidad	i m p a s i β i l i ð a ð
impasibles	i m p a s i β l e s
impedir	i m p e ð i ɾ
impedirles	i m p e ð i r l e s
impedía	i m p e ð i a
impedírmelo	i m p e ð i ɾ m e l o
impelido	i m p e l i ð o
impelían	i m p e l i a n
imperfecto	i m p e r f e ɣ t̪ o
impertinencia	i m p e r t̪ i n e n θ j a
imperturbablemente	i m p e r t̪ u r β a β l e m e n t̪ e
impetuosos	i m p e t̪ w o s o s
impidiera	i m p i ð j e ɾ a
impidiese	i m p i ð j e s e
implacables	i m p l a k a β l e s
imploraban	i m p l o ɾ a β a n
imponerle	i m p o n e r l e
importaba	i m p o r t̪ a β a
importantes	i m p o r t̪ a n t̪ e s
importantísimo	i m p o r t̪ a n t̪ i s i m o
imposibilidad	i m p o s i β i l i ð a ð
imposibilitaban	i m p o s i β i l i t̪ a β a n
imposibilitando	i m p o s i β i l i t̪ a n d̪ o
imposibles	i m p o s i β l e s
impremeditadamente	i m p ɾ e m e ð i t̪ a ð a m e n t̪ e
imprescindible	i m p ɾ e s θ i n d̪ i β l e
impresionado	i m p ɾ e s j o n a ð o
impresionase	i m p ɾ e s j o n a s e
impresión	i m p ɾ e s j o n
imprevisor	i m p ɾ e β i s o ɾ
imprevisto	i m p ɾ e β i s t̪ o
imprimía	i m p ɾ i m i a
ingeniosa	i ɲ ç e ɲ j o s a
ingenioso	i ɲ ç e ɲ j o s o
ingenuidad	i ɲ ç e n w i ð a ð
improvisaciones	i m p ɾ o β i s a θ j o n e s
imprudente	i m p ɾ u ð e n t̪ e
inglesa	i ŋ ɡ l e s a
impulsaban	i m p u l s a β a n
impulsan	i m p u l s a n
impulso	i m p u l s o
impulsó	i m p u l s o
impureza	i m p u ɾ e θ a
hunde	u n d̪ e
inglesas	i ŋ ɡ l e s a s
ingleses	i ŋ ɡ l e s e s
impía	i m p i a
inglés	i ŋ ɡ l e s
hundiendo	u n d̪ j e n d̪ o
impío	i m p i o
hundirla	u n d̪ i r l a
impíos	i m p i o s
ingratitud	i ŋ ɡ ɾ a t̪ i t̪ u ð
ingredientes	i ŋ ɡ ɾ e ð j e n t̪ e s
imán	i m a n
hundió	u n d̪ j o
inaccesible	i n a ɣ θ e s i β l e
inhumanamente	i n u m a n a m e n t̪ e
hundí	u n d̪ i
hundían	u n d̪ i a n
huso	u s o
huya	u ʝ a
huyendo	u ʝ e n d̪ o
huyo	u ʝ o
inadvertencia	i n a ð β e r t̪ e n θ j a
inapreciable	i n a p ɾ e θ j a β l e
inaudito	i n a u ð i t̪ o
huísde	u i s ð e
hábiles	a β i l e s
iniciativa	i n i θ j a t̪ i β a
iniquidad	i n i c i ð a ð
iniquidades	i n i c i ð a ð e s
injuriada	i ŋ x u ɾ j a ð a
injuriaste	i ŋ x u ɾ j a s t̪ e
inauguración	i n a u ɣ u ɾ a θ j o n
incapaces	i ŋ k a p a θ e s
injusta	i ŋ x u s t̪ a
hábleme	a β l e m e
incendiando	i n θ e n d̪ j a n d̪ o
injustas	i ŋ x u s t̪ a s
incendien	i n θ e n d̪ j e n
injusticia	i ŋ x u s t̪ i θ j a
injusto	i ŋ x u s t̪ o
incendio	i n θ e n d̪ j o
inmediaciones	i m e ð j a θ j o n e s
inmediatamente	i m e ð j a t̪ a m e n t̪ e
incidente	i n θ i ð e n t̪ e
húndase	u n d̪ a s e
húndase	u ŋ a s e
húndase	u ŋ ð a s e
inmediatos	i m e ð j a t̪ o s
ibas	i β a s
incipiente	i n θ i p j e n t̪ e
inmensa	i m e n s a
inmensas	i m e n s a s
inmensidad	i m e n s i ð a ð
inmenso	i m e n s o
inclinación	i ŋ k l i n a θ j o n
inclinado	i ŋ k l i n a ð o
inmodestia	i m o ð e s t̪ j a
ideal	i ð e a l
idearse	i ð e a r s e
inclinarme	i ŋ k l i n a r m e
incluso	i ŋ k l u s o
inmoladas	i m o l a ð a s
incomodado	i ŋ k o m o ð a ð o
inmortal	i m o r t̪ a l
incomodándose	i ŋ k o m o ð a n d̪ o s e
inmortales	i m o r t̪ a l e s
ideó	i ð e o
inmovilidad	i m o β i l i ð a ð
inmundicia	i m u n d̪ i θ j a
idiotas	i ð j o t̪ a s
idolatría	i ð o l a t̪ ɾ i a
inmutable	i m u t̪ a β l e
inmóviles	i m o β i l e s
innumerables	i n u m e ɾ a β l e s
inocente	i n o θ e n t̪ e
incomparables	i ŋ k o m p a ɾ a β l e s
inconmensurablemente	i ŋ k o m e n s u ɾ a β l e m e n t̪ e
inconveniente	i ŋ k o m b e ɲ j e n t̪ e
inconvenientes	i ŋ k o m b e ɲ j e n t̪ e s
incorporado	i ŋ k o r p o ɾ a ð o
incorporarnos	i ŋ k o r p o ɾ a r n o s
incorporándose	i ŋ k o r p o ɾ a n d̪ o s e
increpando	i ŋ k ɾ e p a n d̪ o
incógnita	i ŋ k o ɣ n i t̪ a
incólumes	i ŋ k o l u m e s
incómodos	i ŋ k o m o ð o s
inocentes	i n o θ e n t̪ e s
ignoraban	i ɣ n o ɾ a β a n
indagar	i n d̪ a ɣ a ɾ
inofensivas	i n o f e n s i β a s
ignorado	i ɣ n o ɾ a ð o
indecible	i n d̪ e θ i β l e
inoportunas	i n o p o r t̪ u n a s
inquieta	i ŋ k j e t̪ a
indecoroso	i n d̪ e k o ɾ o s o
inquietaba	i ŋ k j e t̪ a β a
indelebles	i n d̪ e l e β l e s
independencia	i n d̪ e p e n d̪ e n θ j a
indiana	i n d̪ j a n a
indica	i n d̪ i k a
indicaban	i n d̪ i k a β a n
indicando	i n d̪ i k a n d̪ o
inquieto	i ŋ k j e t̪ o
inquietos	i ŋ k j e t̪ o s
indicase	i n d̪ i k a s e
indicándome	i n d̪ i k a n d̪ o m e
indigencia	i n d̪ i ç e n θ j a
indignidad	i n d̪ i ɣ n i ð a ð
indinota	i n d̪ i n o t̪ a
indiscretamente	i n d̪ i s k ɾ e t̪ a m e n t̪ e
igualar	i ɣ w a l a ɾ
individuales	i n d̪ i β i ð w a l e s
inquietud	i ŋ k j e t̪ u ð
inquinaque	i ɲ c i n a c e
insanas	i n s a n a s
inscripción	i n s k ɾ i β θ j o n
insectos	i n s e k t̪ o s
insensato	i n s e n s a t̪ o
insensatos	i n s e n s a t̪ o s
inseparable	i n s e p a ɾ a β l e
ijares	i x a ɾ e s
ilimitada	i l i m i t̪ a ð a
iluminación	i l u m i n a θ j o n
iluminadas	i l u m i n a ð a s
inducía	i n d̪ u θ i a
insertaban	i n s e r t̪ a β a n
insignias	i n s i ɣ ɲ j a s
indudablemente	i n d̪ u ð a β l e m e n t̪ e
iluminar	i l u m i n a ɾ
insignificante	i n s i ɣ n i f i k a n t̪ e
industria	i n d̪ u s t̪ ɾ j a
ilumine	i l u m i n e
insiste	i n s i s t̪ e
indígenas	i n d̪ i ç e n a s
ilusiones	i l u s j o n e s
insistencia	i n s i s t̪ e n θ j a
indócil	i n d̪ o θ i l
ilusoria	i l u s o ɾ j a
insistieran	i n s i s t̪ j e ɾ a n
inepta	i n e β t̪ a
insolencia	i n s o l e n θ j a
ilustrarme	i l u s t̪ ɾ a r m e
inepto	i n e β t̪ o
insolencias	i n s o l e n θ j a s
insoportable	i n s o p o r t̪ a β l e
ilustrísima	i l u s t̪ ɾ i s i m a
inspección	i n s p e ɣ θ j o n
inesperada	i n e s p e ɾ a ð a
inspiraba	i n s p i ɾ a β a
inesperados	i n e s p e ɾ a ð o s
inspiración	i n s p i ɾ a θ j o n
inspiradas	i n s p i ɾ a ð a s
inexperta	i n e k s p e r t̪ a
inexpresiva	i n e k s p ɾ e s i β a
inspirar	i n s p i ɾ a ɾ
imitar	i m i t̪ a ɾ
inexpugnable	i n e k s p u ɣ n a β l e
inspiraron	i n s p i ɾ a ɾ o n
imitéis	i m i t̪ e i s
infamia	i n f a m j a
inspiró	i n s p i ɾ o
instante	i n s t̪ a n t̪ e
instantes	i n s t̪ a n t̪ e s
instaron	i n s t̪ a ɾ o n
infante	i n f a n t̪ e
instintivo	i n s t̪ i n t̪ i β o
instinto	i n s t̪ i n t̪ o
instituciones	i n s t̪ i t̪ u θ j o n e s
infanteríaque	i n f a n t̪ e ɾ i a c e
instructiva	i n s t̪ ɾ u ɣ t̪ i β a
infantiles	i n f a n t̪ i l e s
instruido	i n s t̪ ɾ w i ð o
infatigables	i n f a t̪ i ɣ a β l e s
imparcialmente	i m p a ɾ θ j a l m e n t̪ e
instrumento	i n s t̪ ɾ u m e n t̪ o
insulta	i n s u l t̪ a
inferior	i n f e ɾ j o ɾ
impavidez	i m p a β i ð e θ
insultan	i n s u l t̪ a n
insultantes	i n s u l t̪ a n t̪ e s
insultarnos	i n s u l t̪ a r n o s
insultos	i n s u l t̪ o s
impedimenta	i m p e ð i m e n t̪ a
insuperable	i n s u p e ɾ a β l e
insurgente	i n s u r ç e n t̪ e
insurgente	i n s u ɾ ç e n t̪ e
insurgentes	i n s u r ç e n t̪ e s
insurgentes	i n s u ɾ ç e n t̪ e s
insurrección	i n s u r e ɣ θ j o n
intelectual	i n t̪ e l e k t̪ w a l
intelectual	i n t̪ e l e ɣ t̪ w a l
inteligencia	i n t̪ e l i ç e n θ j a
inteligencias	i n t̪ e l i ç e n θ j a s
intenciones	i n t̪ e n θ j o n e s
intención	i n t̪ e n θ j o n
intensidad	i n t̪ e n s i ð a ð
infieles	i n f j e l e s
infinidad	i n f i n i ð a ð
intentaba	i n t̪ e n t̪ a β a
impedirlo	i m p e ð i r l o
intentad	i n t̪ e n t̪ a ð
intentan	i n t̪ e n t̪ a n
inflamaba	i n f l a m a β a
inflamada	i n f l a m a ð a
impelen	i m p e l e n
intentar	i n t̪ e n t̪ a ɾ
inflamado	i n f l a m a ð o
inflexión	i n f l e ɣ s j o n
influir	i n f l u i ɾ
influir	i n f l w i ɾ
informado	i n f o r m a ð o
informarle	i n f o r m a r l e
informarse	i n f o r m a r s e
impeliéndola	i m p e l j e n d̪ o l a
imperceptible	i m p e ɾ θ e β t̪ i β l e
intentaran	i n t̪ e n t̪ a ɾ a n
imperfectas	i m p e r f e ɣ t̪ a s
informemente	i n f o r m e m e n t̪ e
intentaría	i n t̪ e n t̪ a ɾ i a
informó	i n f o r m o
intentáramos	i n t̪ e n t̪ a ɾ a m o s
interceptó	i n t̪ e ɾ θ e β t̪ o
interesa	i n t̪ e ɾ e s a
interesada	i n t̪ e ɾ e s a ð a
infortunada	i n f o r t̪ u n a ð a
infortunios	i n f o r t̪ u ɲ j o s
infundada	i n f u n d̪ a ð a
interesado	i n t̪ e ɾ e s a ð o
infundieron	i n f u n d̪ j e ɾ o n
impericia	i m p e ɾ i θ j a
interesantes	i n t̪ e ɾ e s a n t̪ e s
interesaras	i n t̪ e ɾ e s a ɾ a s
intereses	i n t̪ e ɾ e s e s
interior	i n t̪ e ɾ j o ɾ
infundiéndonos	i n f u n d̪ j e n d̪ o n o s
imperiosa	i m p e ɾ j o s a
interlocutor	i n t̪ e r l o k u t̪ o ɾ
impertinencias	i m p e r t̪ i n e n θ j a s
interlocutora	i n t̪ e r l o k u t̪ o ɾ a
ingenios	i ɲ ç e ɲ j o s
interminables	i n t̪ e r m i n a β l e s
ingeniosas	i ɲ ç e ɲ j o s a s
impertinentes	i m p e r t̪ i n e n t̪ e s
internasen	i n t̪ e r n a s e n
ingenuacoquetería	i ɲ ç e n w a k o c e t̪ e ɾ i a
internábamos	i n t̪ e r n a β a m o s
interpelante	i n t̪ e r p e l a n t̪ e
impetuosamente	i m p e t̪ w o s a m e n t̪ e
interpretar	i n t̪ e r p ɾ e t̪ a ɾ
interrogatorio	i n t̪ e r o ɣ a t̪ o ɾ j o
interrumpido	i n t̪ e r u m p i ð o
interrumpiéndome	i n t̪ e r u m p j e n d̪ o m e
impida	i m p i ð a
impidiéronselo	i m p i ð j e r o n s e l o
impidiéronselo	i m p i ð j e ɾ o n s e l o
interrumpiéndose	i n t̪ e r u m p j e n d̪ o s e
interrupción	i n t̪ e r u β θ j o n
ingrata	i ŋ ɡ ɾ a t̪ a
implora	i m p l o ɾ a
intervención	i n t̪ e r β e n θ j o n
imploraba	i m p l o ɾ a β a
interés	i n t̪ e ɾ e s
ingresar	i ŋ ɡ ɾ e s a ɾ
implorando	i m p l o ɾ a n d̪ o
inherentes	i n e ɾ e n t̪ e s
intranquilo	i n t̪ ɾ a ɲ c i l o
intrepidez	i n t̪ ɾ e p i ð e θ
intrigas	i n t̪ ɾ i ɣ a s
inhábil	i n a β i l
importan	i m p o r t̪ a n
introducción	i n t̪ ɾ o ð u ɣ θ j o n
inicuos	i n i k w o s
introducir	i n t̪ ɾ o ð u θ i ɾ
introducirme	i n t̪ ɾ o ð u θ i r m e
introducirse	i n t̪ ɾ o ð u θ i r s e
intrépidos	i n t̪ ɾ e p i ð o s
inundaba	i n u n d̪ a β a
inundando	i n u n d̪ a n d̪ o
inusitados	i n u s i t̪ a ð o s
injertarse	i ɲ ç e r t̪ a r s e
importunos	i m p o r t̪ u n o s
invadida	i m b a ð i ð a
injurias	i ŋ x u ɾ j a s
imposibilitaba	i m p o s i β i l i t̪ a β a
imposibilitados	i m p o s i β i l i t̪ a ð o s
injuriándola	i ŋ x u ɾ j a n d̪ o l a
invadiendo	i m b a ð j e n d̪ o
invadieron	i m b a ð j e ɾ o n
injusticias	i ŋ x u s t̪ i θ j a s
inmediata	i m e ð j a t̪ a
invadirlo	i m b a ð i r l o
inmediatas	i m e ð j a t̪ a s
invasión	i m b a s j o n
impotencia	i m p o t̪ e n θ j a
invasor	i m b a s o ɾ
invasora	i m b a s o ɾ a
inmensos	i m e n s o s
invasores	i m b a s o ɾ e s
impregnada	i m p ɾ e ɣ n a ð a
invencible	i m b e n θ i β l e
inmoralidades	i m o ɾ a l i ð a ð e s
impremeditado	i m p ɾ e m e ð i t̪ a ð o
invenciones	i m b e n θ j o n e s
inmortalizan	i m o r t̪ a l i θ a n
inventa	i m b e n t̪ a
inventado	i m b e n t̪ a ð o
inventarse	i m b e n t̪ a r s e
investigaciones	i m b e s t̪ i ɣ a θ j o n e s
invisible	i m b i s i β l e
impresionables	i m p ɾ e s j o n a β l e s
invitó	i m b i t̪ o
inmutó	i m u t̪ o
invocaciones	i m b o k a θ j o n e s
innoble	i n o β l e
impresionó	i m p ɾ e s j o n o
involuntaria	i m b o l u n t̪ a ɾ j a
innúmeros	i n u m e ɾ o s
inútil	i n u t̪ i l
inocencia	i n o θ e n θ j a
impresos	i m p ɾ e s o s
inopinadamente	i n o p i n a ð a m e n t̪ e
inútilmente	i n u t̪ i l m e n t̪ e
imprevistos	i m p ɾ e β i s t̪ o s
inquietaban	i ŋ k j e t̪ a β a n
impropio	i m p ɾ o p j o
improvisando	i m p ɾ o β i s a n d̪ o
iracunda	i ɾ a k u n d̪ a
impulsa	i m p u l s a
iremos	i ɾ e m o s
ironía	i ɾ o n i a
inquisición	i ɲ c i s i θ j o n
inscribe	i n s k ɾ i β e
impulsaba	i m p u l s a β a
impulsado	i m p u l s a ð o
impulsarán	i m p u l s a ɾ a n
irradiación	i r a ð j a θ j o n
irregular	i r e ɣ u l a ɾ
irreligioso	i r e l i x j o s o
impunemente	i m p u n e m e n t̪ e
insecto	i n s e k t̪ o
irresistible	i r e s i s t̪ i β l e
irresistibles	i r e s i s t̪ i β l e s
impíamente	i m p i a m e n t̪ e
irreverencia	i r e β e ɾ e n θ j a
inseguro	i n s e ɣ u ɾ o
irreverente	i r e β e ɾ e n t̪ e
irreverentes	i r e β e ɾ e n t̪ e s
insensible	i n s e n s i β l e
inseparables	i n s e p a ɾ a β l e s
insignes	i n s i ɣ n e s
insignia	i n s i ɣ ɲ j a
insignificantes	i n s i ɣ n i f i k a n t̪ e s
insistiese	i n s i s t̪ j e s e
irrevocable	i r e β o k a β l e
insisto	i n s i s t̪ o
inactivas	i n a ɣ t̪ i β a s
irritaban	i r i t̪ a β a n
inalterable	i n a l t̪ e ɾ a β l e
inauditas	i n a u ð i t̪ a s
incansable	i ŋ k a n s a β l e
incapaz	i ŋ k a p a θ
incendiaba	i n θ e n d̪ j a β a
irritadas	i r i t̪ a ð a s
irritados	i r i t̪ a ð o s
insolente	i n s o l e n t̪ e
incendiar	i n θ e n d̪ j a ɾ
irrupción	i r u β θ j o n
insolentemente	i n s o l e n t̪ e m e n t̪ e
incertidumbre	i n θ e r t̪ i ð u m b ɾ e
irán	i ɾ a n
inspira	i n s p i ɾ a
incitan	i n θ i t̪ a n
incitarme	i n θ i t̪ a r m e
inspiraban	i n s p i ɾ a β a n
inclinaciones	i ŋ k l i n a θ j o n e s
inclinados	i ŋ k l i n a ð o s
inclinará	i ŋ k l i n a ɾ a
inclusos	i ŋ k l u s o s
incomodarle	i ŋ k o m o ð a r l e
iría	i ɾ i a
irónico	i ɾ o n i k o
islas	i s l a s
inspirado	i n s p i ɾ a ð o
inspiran	i n s p i ɾ a n
itinerario	i t̪ i n e ɾ a ɾ j o
inspirarme	i n s p i ɾ a r m e
