du	d uː
liebeskampf	l iː b ə s k a m pf
labsal	l aː p z aː l
landnähe	l a n t n eː ə
liebesleidenschaft	l iː b ə s l aj d n̩ ʃ a f t
lache	l a x ə
lache	l aː x ə
landschaft	l a n t ʃ a f t
liebesmarkt	l iː b ə s m a ʁ k t
landschaftsreize	l a n t ʃ a f ts ʁ aj ts ə
liebesmarktes	l iː b ə s m a ʁ k tʰ ə s
landstreicherischen	l a n t ʃ t ʁ aj ç ə ʁ ɪ ʃ n̩
liebesnetz	l iː b ə s n ɛ ts
liebespaar	l iː b ə s p aː ɐ
lachendes	l aː x n̩ d ə s
lang	l a ŋ
langem	l a ŋ m̩
liebestod	l iː b ə s t oː t
liebestorheit	l iː b ə s t oː ɐ h aj t
lackaltan	l a kʰ a l tʰ a n
lackaltan	l a kʰ a l tʰ aː n
lackaltan	l a kʰ aː l tʰ a n
liebesumtrieben	l iː b ə s ʊ m t ʁ iː b n̩
lackschachteln	l a k ʃ a x tʰ l̩ n
lackschachteln	l a k ʃ a x tʰ ə l n
liebeswahl	l iː b ə s v aː l
laden	l aː d n̩
langte	l a ŋ tʰ ə
liebesworten	l iː b ə s v ɔ ʁ tʰ n̩
langweiliges	l a ŋ v aj l ɪ ɡ ə s
liebgewonnen	l iː p ɡ ə v ɔ n n̩
las	l a s
las	l aː s
liebkoste	l iː p kʰ ɔ s t ə
lieblichen	l iː p l ɪ ç n̩
lieblichkeit	l iː p l ɪ ç kʰ aj t
lagt	l aː k t
lieblingspapagei	l iː p l ɪ ŋ s p a pʰ a ɡ aj
laien	l aj n̩
lasse	l a s ə
liebsten	l iː p s t n̩
liebt	l iː p t
lampe	l a m pʰ ə
liebte	l iː p tʰ ə
lampen	l a m pʰ n̩
liebtest	l iː p tʰ ə s t
lampionketten	l a m pʰ ɪ j oː ɲ cʰ ɛ tʰ n̩
lampionketten	l a m pʰ ɪ oː ɲ cʰ ɛ tʰ n̩
lampionketten	l a m pʰ ɪ ɔ ɲ cʰ ɛ tʰ n̩
lied	l iː t
laterna	l a tʰ ɛ ʁ n a
lieder	l iː d ɐ
laternen	l a tʰ ɛ ʁ n n̩
landen	l a n d n̩
lief	l iː f
lauer	l aw ɐ
landes	l a n d ə s
liefern	l iː f ɐ n
lieferte	l iː f ɐ tʰ ə
landete	l a n d ə tʰ ə
liegen	l iː ɡ n̩
landhaus	l a n t h aw s
liegestühlen	l iː ɡ ə ʃ t yː l n̩
landratzen	l a n t ʁ a ts n̩
ließe	l iː s ə
lauscht	l aw ʃ t
landschaften	l a n t ʃ a f tʰ n̩
ließen	l iː s n̩
landstation	l a n t ʃ t a t s j oː n
ließet	l iː s t
ließet	l iː s ə t
landstraße	l a n t ʃ t ʁ aː s ə
lilie	l iː l ɪ ə
landung	l a n d ʊ ŋ
lindhorst	l ɪ n t h ɔ ʁ s t
lauten	l aw tʰ n̩
landungsbrücke	l a n d ʊ ŋ s b ʁ ʏ kʰ ə
linien	l iː n j n̩
landungskai	l a n d ʊ ŋ s c aj
landungskai	l a n d ʊ ŋ s k a aj
landungskai	l a n d ʊ ŋ s k a iː
landungskai	l a n d ʊ ŋ s k aj
landungskai	l a n d ʊ ŋ s k aː ɪ
linken	l ɪ ŋ kʰ n̩
lautet	l aw tʰ ə t
links	l ɪ ŋ k s
lippe	l ɪ pʰ ə
lautlos	l aw t l oː s
lippen	l ɪ pʰ n̩
lispelte	l ɪ s p ə l tʰ ə
lautlosigkeit	l aw t l oː z ɪ ç kʰ aj t
langes	l a ŋ ə s
liste	l ɪ s t ə
laßt	l aː s t
laßt	l ɛ s t
laßt	l ɛ ɪ s t
langsam	l a ŋ z aː m
litt	l ɪ t
loch	l ɔ x
lebe	l eː b ə
locken	l ɔ kʰ n̩
langweiligen	l a ŋ v aj l ɪ ɡ n̩
loderten	l oː d ɐ tʰ n̩
lappen	l a pʰ n̩
lebende	l eː b ə n d ə
lebende	l ɛ b ɛ n d ə
london	l ɔ n d n̩
london	l ɔ n d ɔ n
lasen	l aː z n̩
lasen	l eː z n̩
lebender	l eː b ə n d ɐ
lebender	l ɛ b ɛ n d ɐ
los	l oː s
lebendige	l ɛ b ɛ n d ɪ ɡ ə
losdonnern	l oː s d ɔ n ɐ n
lebendiggewordener	l ɛ b ɛ n d ɪ k ɡ ə v ɔ ʁ d ə n ɐ
losstürzte	l oː s ʃ t ʏ ʁ ts t ə
lebensfadens	l eː b n̩ s f aː d n̩ s
loswickelte	l oː s v ɪ kʰ ə l tʰ ə
lebensgebräuchen	l eː b n̩ s ɡ ə b ʁ ɔʏ ç n̩
lothar	l oː tʰ a ʁ
lothar	l oː tʰ aː ɐ
lebenskräftig	l eː b n̩ s k ʁ ɛ f tʰ ɪ k
lebenskräftig	l eː b n̩ s k ʁ ɛ f tʰ ɪ ç
lotosblume	l oː tʰ ɔ s b l uː m ə
lud	l uː t
laternenstrahl	l a tʰ ɛ ʁ n ə n ʃ t ʁ aː l
luft	l ʊ f t
lebenssitten	l eː b n̩ s z ɪ tʰ n̩
lebensweise	l eː b n̩ s v aj z ə
lebetage	l eː b ə tʰ aː ɡ ə
lebetage	l eː b ə tʰ aː ʃ
lebetage	l ɛ b ə tʰ aː ɡ ə
lebetage	l ɛ b ɛ tʰ aː ɡ ə
lebetage	l ɛ b ɛ tʰ aː ʃ
lebhaft	l eː p h a f t
launischen	l aw n ɪ ʃ n̩
lebhafteres	l eː p h a f tʰ ɐ ʁ ə s
lauschten	l aw ʃ t n̩
luftige	l ʊ f tʰ ɪ ɡ ə
leblos	l eː p l oː s
luftiger	l ʊ f tʰ ɪ ɡ ɐ
leblose	l eː p l oː z ə
luftstrom	l ʊ f t ʃ t ʁ oː m
lug	l uː k
lug	l uː x
lug	l ʊ x
lebloser	l eː p l oː z ɐ
lumpen	l ʊ m pʰ n̩
lebt	l eː p t
lumpenpüppchen	l ʊ m pʰ n̩ p ʏ p ç n̩
lumpenpüppchen	l ʊ m pʰ ə n pʰ ʏ p ç n̩
lustigen	l ʊ s t ɪ ɡ n̩
lautlosen	l aw t l oː z n̩
lustspiel	l ʊ s t ʃ p iː l
lazarett	l a ts a ʁ ɛ t
leckere	l ɛ kʰ ɐ
leckere	l ɛ kʰ ə ʁ ə
lächeln	l ɛ ç l̩ n
lächeln	l ɛ ç ə l n
laß	l aː s
laß	l ɛ s
laß	l ɛ ɪ s
leer	l eː ɐ
leere	l eː ʁ ə
lächelnd	l ɛ ç l̩ n t
lächelnd	l ɛ ç ə l n t
lächelt	l ɛ ç ə l t
leerte	l eː ɐ tʰ ə
legt	l eː k t
legte	l eː k tʰ ə
lehnt	l eː n t
lehnten	l eː n tʰ n̩
lehrburschen	l eː ɐ b ʊ ʁ ʃ n̩
lehrers	l eː ʁ ɐ s
lehrten	l eː ɐ tʰ n̩
lächelten	l ɛ ç ə l tʰ n̩
lebend	l eː b n̩ t
lebend	l eː b ə n t
lächerlich	l ɛ ç ɐ l ɪ ç
leibe	l aj b ə
lämmerhirt	l ɛ m ɐ h ɪ ʁ t
länder	l ɛ n d ɐ
leiblichen	l aj p l ɪ ç n̩
lebendiger	l ɛ b ɛ n d ɪ ɡ ɐ
lebendigsten	l ɛ b ɛ n d ɪ ç s t n̩
ländereien	l ɛ n d ə ʁ aj n̩
länger	l ɛ ŋ ɐ
leichenblaß	l aj ç n̩ b l s
leichenblaß	l aj ç n̩ b l ɛ s
längsachse	l ɛ ŋ z a k s ə
leichenhause	l aj ç ə n h aw z ə
längstens	l ɛ ŋ s t n̩ s
leicht	l aj ç t
lästig	l ɛ s t ɪ k
lästig	l ɛ s t ɪ ç
lästige	l ɛ s t ɪ ɡ ə
läßt	l eː s t
läßt	l s t
läßt	l ɛ s t
löbliche	l øː p l ɪ ç ə
lösen	l øː z n̩
löste	l øː s t ə
löwen	l øː v n
löwen	l øː v n̩
lüfte	l ʏ f tʰ ə
lebensbeschreibungen	l eː b n̩ s b ə ʃ ʁ aj b ʊ ŋ n̩
leichten	l aj ç tʰ n̩
lebenshoffnung	l eː b n̩ s h ɔ f n ʊ ŋ
lebensmüden	l eː b n̩ s m yː d n̩
lebensmüden	l eː b ə n s m yː d n̩
leichteren	l aj ç tʰ ɐ n
leichteren	l aj ç tʰ ɐ ʁ n̩
leichteren	l aj ç tʰ ə ʁ n̩
lebenssorge	l eː b n̩ s z ɔ ʁ ɡ ə
lüge	l yː ɡ ə
leichtfüßig	l aj ç t f yː s ɪ ç
leichtfüßig	l aj ç t f ʏ s ɪ ç
leichtgeflügelten	l aj ç t ɡ ə f l yː ɡ ə l tʰ n̩
lebewohl	l eː b ə v oː l
lügnerischer	l yː ɡ n ə ʁ ɪ ʃ ɐ
leichtsinniger	l aj ç t z ɪ n ɪ ɡ ɐ
lebhaften	l eː p h a f tʰ n̩
machen	m a x n̩
leide	l aj d ə
lebhafteste	l eː p h a f tʰ ə s t ə
leblosen	l eː p l oː z n̩
lebst	l eː p s t
macht	m a x t
machte	m a x tʰ ə
machten	m a x tʰ n̩
leidenschaftlichen	l aj d n̩ ʃ a f t l ɪ ç n̩
lebten	l eː p tʰ n̩
mademoiselle	m a d ɛ m ɔ iː z ɛ l ə
leidwesen	l aj t v eː z n̩
mag	m a x
mag	m aː k
magd	m aː x t
magen	m aː ɡ n̩
magens	m aː ɡ n̩ s
leinwandfächer	l aj n v a n t f ɛ ç ɐ
magenschnäpschen	m aː ɡ n̩ ʃ n ɛ s ç n̩
leinwandmalereien	l aj n v a n t m aː l ə ʁ aj n̩
magneteisen	m a ɡ n ɛ tʰ aj z n̩
leiseste	l aj z ə s t ə
mahl	m aː l
leisten	l aj s t n̩
leitern	l aj tʰ ɐ n
mahnen	m aː n n̩
lendenlahmen	l ɛ n d n̩ l aː m n̩
mahnungen	m aː n ʊ ŋ n̩
mainz	m aj n ts
lersner	l ɛ ʁ s n ɐ
makel	m aː kʰ l̩
lehm	l eː m
mal	m aː l
lehnstühlen	l eː n ʃ t yː l n̩
leserin	l eː z ə ʁ ɪ n
malaye	m a l aj
lesern	l eː z ɐ n
letzten	l ɛ ts t n̩
letzteren	l ɛ ts t ɐ n
leuchten	l ɔʏ ç tʰ n̩
leuchtenden	l ɔʏ ç tʰ ɛ n d n̩
leuchtet	l ɔʏ ç tʰ ə t
leugne	l ɔʏ k n ə
leuten	l ɔʏ tʰ n̩
leuwenhoeks	l ɔʏ v n̩ h ɔ eː k s
male	m a l ə
male	m aː l ə
malen	m a l n̩
malen	m aː l n̩
lehrreichen	l eː ʁ aj ç n̩
malerei	m aː l ə ʁ aj
malers	m aː l ɐ s
licht	l ɪ ç t
man	m a n
man	m aː n
leibhaftig	l aj p h a f tʰ ɪ k
leibhaftig	l aj p h a f tʰ ɪ ç
lichte	l ɪ ç tʰ ə
leibniz	l aj b n ɪ ts
leibniz	l aj p n ɪ ts
lichter	l ɪ ç tʰ ɐ
manchem	m a ŋ ʃ m̩
manchem	m a ɲ ç m̩
mancher	m a ɲ ç ɐ
lichterketten	l ɪ ç tʰ ɐ cʰ ɛ tʰ n̩
leichen	l aj ç n̩
manches	m a ɲ ç ə s
lichts	l ɪ ç t s
leichenhaft	l aj ç ə n h a f t
mandoline	m a n d ɔ l iː n ə
lichtstrahl	l ɪ ç t ʃ t ʁ aː l
leichenähnlich	l aj ç n̩ eː n l ɪ ç
mandragora	m a n d ʁ a ɡ ɔ ʁ a
mandragora	m ɛ n d ʁ a ɡ ɔ ʁ a
mandschurei	m a n t ʃ uː ʁ aj
mangels	m a ŋ l̩ s
leichtes	l aj ç tʰ ə s
mann	m a n
liebeatmendes	l iː b ə aː t m ə n d ə s
leichtfertigen	l aj ç t f ɛ ʁ tʰ ɪ ɡ n̩
liebende	l iː b ə n d ə
leichtsinnig	l aj ç t z ɪ n ɪ k
leichtsinnig	l aj ç t z ɪ n ɪ ç
manna	m a n a
liebenswürdiger	l iː b n̩ s v ʏ ʁ d ɪ ɡ ɐ
leid	l aj t
manne	m a n ə
mannes	m a n ə s
lieber	l iː b ɐ
mannesjahren	m a n ə s j aː ʁ n̩
mannschaft	m a n ʃ a f t
liebesabsage	l iː b ə s a p s aː ɡ ə
liebesabsage	l iː b ə s a p z aː ɡ ə
leidenschaften	l aj d n̩ ʃ a f tʰ n̩
mannsgroßen	m a n s ɡ ʁ oː s n̩
liebesblicke	l iː b ə s b l ɪ kʰ ə
leider	l aj d ɐ
manöver	m a n øː v ɐ
liebeserklärung	l iː b ə s ɛ ɐ k l eː ʁ ʊ ŋ
liebesgedanken	l iː b ə s ɡ ə d a ŋ kʰ n̩
marianne	m a ʁ iː a n ə
leidet	l aj d ə t
mark	m a ʁ k
liebesgötter	l iː b ə s ɟ œ tʰ ɐ
markte	m a ʁ k tʰ ə
leids	l aj t s
liebesklagen	l iː b ə s k l aː ɡ n̩
markthelfer	m a ʁ k t h ɛ l f ɐ
leidvoll	l aj t f ɔ l
leinwand	l aj n v a n t
marmortafel	m a ʁ m oː ɐ tʰ aː f l̩
leinwandhemdkleidern	l aj n v a n t h ɛ m t k l aj d ɐ n
marschierten	m a ʁ ʃ iː ʁ tʰ n̩
marter	m a ʁ tʰ ɐ
liebesmärkte	l iː b ə s m ɛ ʁ k tʰ ə
marzipan	m a ʁ ts ɪ pʰ aː n
leisester	l aj s ə s t ɐ
leisester	l aj z ə s t ɐ
marzipans	m a ʁ ts ɪ pʰ aː n s
liebessekunden	l iː b ə s z ɛ kʰ ʊ n d n̩
leiter	l aj tʰ ɐ
maschen	m a ʃ n̩
liebesumarmungen	l iː b ə s ʊ m a ʁ m ʊ ŋ n̩
leiterwagen	l aj tʰ ɐ v aː ɡ n̩
maschine	m a ʃ iː n ə
liebesverzweiflung	l iː b ə s f ɛ ɐ ts v aj f l ʊ ŋ
lenkten	l ɛ ŋ k tʰ n̩
maschinen	m a ʃ iː n n̩
liebeszweifel	l iː b ə s ts v aj f l̩
lernte	l ɛ ʁ n tʰ ə
maske	m a s k ə
liebhabers	l iː p h aː b ɐ s
lieblich	l iː p l ɪ ç
masken	m a s k n̩
lieblicheres	l iː p l ɪ ç ə ʁ ə s
maskerade	m a s k ə ʁ aː d ə
lieblichste	l iː p l ɪ ç s t ə
liebreich	l iː p ʁ aj ç
masmeister	m a s m aj s t ɐ
masmeister	m aː s m aj s t ɐ
liebreizes	l iː p ʁ aj ts ə s
massive	m a s iː v ə
letzter	l ɛ ts t ɐ
liebste	l iː p s t ə
masthuggetorg	m a s t h ʊ ɟ ɛ tʰ ɔ ʁ k
masthuggetorg	m a s t h ʊ ɟ ɛ tʰ ɔ ʁ ç
letztern	l ɛ ts t eː ʁ n̩
letztern	l ɛ ts t ə ʁ n
matrosen	m a t ʁ oː z n̩
matten	m a tʰ n̩
leuchtendem	l ɔʏ ç tʰ n̩ d m̩
mauern	m aw ɐ n
liebten	l iː p tʰ n̩
maulbeerbäume	m aw l b eː ɐ b ɔʏ m ə
maulbeerbäume	m aw l b eː ʁ b ɔʏ m ə
mechanisch	m ɛ ç a n ɪ ʃ
mechanisch	m ɛ ç aː n ɪ ʃ
leuchttürmen	l ɔʏ ç tʰ ʏ ʁ m n̩
liedchen	l iː t ç n̩
meer	m eː ɐ
liefen	l iː f n̩
meere	m eː ʁ ə
liege	l iː ɡ ə
meeres	m eː ʁ ə s
meeresfläche	m eː ʁ ə s f l ɛ ç ə
liegend	l iː ɡ n̩ t
liegend	l iː ɡ ə n t
meeresnachtleben	m eː ʁ ə s n a x t l eː b n̩
leuwenhoekschen	l ɔʏ v n̩ h ɔ eː k s ç n̩
leuwenhoekschen	l ɔʏ v n̩ h ɔ eː k ʃ n̩
leuwenhoekschen	l ɔʏ v n̩ h ɔ ɛ k s ç n̩
leuwenhoekschen	l ɔʏ v n̩ h ɔ ɛ k ʃ n̩
liegt	l iː k t
liegt	l iː ç t
meerfräulein	m eː ɐ f ʁ ɔʏ l aj n
meerweib	m eː ɐ v aj p
liest	l iː s t
mehlweißes	m eː l v aj s ə s
ließ	l iː s
mehr	m eː ɐ
lichterchen	l ɪ ç tʰ ɐ ç n̩
mehrere	m eː ʁ ə
lichtern	l ɪ ç tʰ ɐ n
mehrmals	m eː ɐ m aː l s
lila	l iː l a
meilen	m aj l n̩
lichtstrahlen	l ɪ ç t ʃ t ʁ aː l n̩
lilien	l iː l ɪ n̩
mein	m aj n
linie	l iː n j ə
liebeentzückten	l iː b ə n ts ʏ k tʰ n̩
liebeentzückten	l iː b ə ɛ n ts ʏ k tʰ n̩
liebeentzückten	l iː b ɛ n ts ʏ k tʰ n̩
meine	m aj n ə
meinem	m aj m
meinem	m aj n m̩
meiner	m aj n ɐ
linke	l ɪ ŋ kʰ ə
meinerseits	m aj n ɐ z aj ts
linkisch	l ɪ ɲ cʰ ɪ ʃ
meint	m aj n t
liebenswürdigen	l iː b n̩ s v ʏ ʁ d ɪ ɡ n̩
meinte	m aj n tʰ ə
lispelnd	l ɪ s p l̩ n t
lispelnd	l ɪ s p ə l n t
meinten	m aj n tʰ n̩
liebenswürdigsten	l iː b n̩ s v ʏ ʁ d ɪ ç s t n̩
list	l ɪ s t
meinung	m aj n ʊ ŋ
liebesbeteurungen	l iː b ə s b ə tʰ ɔʏ ʁ ʊ ŋ n̩
literarische	l ɪ tʰ ə ʁ aː ʁ ɪ ʃ ə
meist	m aj s t
loderte	l oː d ɐ tʰ ə
meisten	m aj s t n̩
liebesflammen	l iː b ə s f l a m n̩
lohnte	l oː n tʰ ə
meistenteils	m aj s t n̩ tʰ aj l s
meistenteils	m aj s t ə n tʰ aj l s
meistenteils	m aj s t ɛ n tʰ aj l s
liebesgespräch	l iː b ə s ɡ ə ʃ p ʁ eː ç
meisterschaft	m aj s t ɐ ʃ a f t
liebeshauch	l iː b ə s h aw x
melancholisches	m ɛ l a n ʃ oː l ɪ ʃ ə s
liebeslager	l iː b ə s l aː ɡ ɐ
melodien	m ɛ l ɔ d iː n
liebeslust	l iː b ə s l ʊ s t
lose	l oː z ə
memme	m ɛ m ə
losläßt	l oː s l s t
losläßt	l oː s l ɛ s t
losmarschierten	l oː s m a ʁ ʃ iː ʁ tʰ n̩
memoires	m eː m ɔ iː ʁ ə s
loszuwickeln	l oː s ts uː v ɪ kʰ ə l n
liebesmärkten	l iː b ə s m ɛ ʁ k tʰ n̩
liebesschmerz	l iː b ə s ʃ m ɛ ʁ ts
lotse	l oː t s ə
liebestrunkenem	l iː b ə s t ʁ ʊ ŋ kʰ ə n m̩
mensch	m ɛ n ʃ
liebesverhältnis	l iː b ə s f ɛ ɐ h ɛ l t n ɪ s
menschen	m ɛ n ʃ n̩
liebeswonne	l iː b ə s v ɔ n ə
luftigen	l ʊ f tʰ ɪ ɡ n̩
liebevollste	l iː b ə f ɔ l s t ə
menschenblut	m ɛ n ʃ n̩ b l uː t
luftsprüngen	l ʊ f t ʃ p ʁ ʏ ŋ n̩
liebhaber	l iː p h aː b ɐ
liebliche	l iː p l ɪ ç ə
menschengedenken	m ɛ n ʃ n̩ ɡ ə d ɛ ŋ kʰ n̩
liebliches	l iː p l ɪ ç ə s
lieblingsmagd	l iː p l ɪ ŋ s m aː x t
luftzuge	l ʊ f ts uː ɡ ə
liebreiz	l iː p ʁ aj ts
menschengesichter	m ɛ n ʃ ə n ɡ ə z ɪ ç tʰ ɐ
lunge	l ʊ ŋ ə
liebst	l iː p s t
menschenkindern	m ɛ n ʃ n̩ cʰ ɪ n d ɐ n
menschenkindern	m ɛ n ʃ ə ɲ cʰ ɪ n d ɐ n
menschenkindern	m ɛ n ʃ ɛ ɲ cʰ ɪ n d ɐ n
lust	l ʊ s t
menschenleer	m ɛ n ʃ n̩ l eː ɐ
menschenmenge	m ɛ n ʃ n̩ m ɛ ŋ ə
lustig	l ʊ s t ɪ ç
liebster	l iː p s t ɐ
menschenscheu	m ɛ n ʃ n̩ ʃ ɔʏ
menschenscheuen	m ɛ n ʃ n̩ ʃ ɔʏ n̩
lustige	l ʊ s t ɪ ɡ ə
menschenstimme	m ɛ n ʃ n̩ ʃ t ɪ m ə
lustiger	l ʊ s t ɪ ɡ ɐ
menschenvolk	m ɛ n ʃ n̩ f ɔ l k
lustwandelte	l ʊ s t v a n d ə l tʰ ə
menschlich	m ɛ n ʃ l ɪ ç
liefere	l iː f ɐ
liefere	l iː f ə ʁ ə
menschliches	m ɛ n ʃ l ɪ ç ə s
merken	m ɛ ʁ kʰ n̩
lächelte	l ɛ ç ə l tʰ ə
merklich	m ɛ ʁ k l ɪ ç
merkt	m ɛ ʁ k t
läg	l eː ç
merkten	m ɛ ʁ k tʰ n̩
läge	l eː ɡ ə
lägen	l eː ɡ n̩
merkwürdig	m ɛ ʁ k v ʏ ʁ d ɪ ç
merkwürdigen	m ɛ ʁ k v ʏ ʁ d ɪ ɡ n̩
merkwürdiges	m ɛ ʁ k v ʏ ʁ d ɪ ɡ ə s
merkwürdigsten	m ɛ ʁ k v ʏ ʁ d ɪ ç s t n̩
messer	m ɛ s ɐ
messina	m ɛ s iː n a
messinggeländer	m ɛ s ɪ ŋ ɡ ə l ɛ n d ɐ
lämmerhirtschen	l ɛ m ɐ h ɪ ʁ t ʃ n̩
ließest	l iː s ə s t
metall	m ɛ tʰ a l
längeren	l ɛ ŋ ə ʁ n̩
lilienweißen	l iː l ɪ ə n v aj s n̩
metallblüten	m ɛ tʰ a l b l yː tʰ n̩
längst	l ɛ ŋ s t
metallen	m ɛ tʰ a l n̩
lärm	l ɛ ʁ m
linkes	l ɪ ŋ kʰ ə s
metallglanz	m ɛ tʰ a l ɡ l a n ts
lärmte	l ɛ ʁ m tʰ ə
lipp	l ɪ p
meteorstein	m ɛ tʰ ɛ oː ɐ ʃ t aj n
meter	m eː tʰ ɐ
lipsius	l ɪ p s j ʊ s
methode	m ɛ tʰ oː d ə
lästigen	l ɛ s t ɪ ɡ n̩
methodischen	m ɛ tʰ oː d ɪ ʃ n̩
lögest	l øː ɡ ə s t
lobsprüche	l oː p ʃ p ʁ ʏ ç ə
mich	m ɪ ç
lockere	l ɔ kʰ ə ʁ ə
loge	l oː ɡ ə
lösten	l øː s t n̩
lohn	l oː n
lüften	l ʏ f tʰ n̩
lügen	l yː ɡ n̩
lokal	l ɔ kʰ aː l
lümmel	l ʏ m l̩
lüstling	l yː s t l ɪ ŋ
mab	m a p
mach	m a x
mache	m a x ə
machst	m a x s t
miene	m iː n ə
lorbeern	l ɔ ʁ b eː ɐ n
machwerk	m a x v ɛ ʁ k
madras	m a d ʁ a s
mienen	m iː n n̩
losfuhr	l oː s f uː ɐ
losreißen	l oː s ʁ aj s n̩
loswerden	l oː s v eː ɐ d n̩
loszulassen	l oː s ts uː l a s n̩
lotte	l ɔ tʰ ə
luftbälle	l ʊ f t b ɛ l ə
luftreichen	l ʊ f t ʁ aj ç n̩
miete	m iː tʰ ə
luftzug	l ʊ f ts uː k
mieter	m iː tʰ ɐ
mietsmann	m iː t s m a n
lupe	l uː pʰ ə
mietsmanns	m iː t s m a n s
mietsmanns	m iː ts m a n s
miideraglocke	m aj aj d ɐ aː ɡ l ɔ kʰ ə
miideraglocke	m aj d ɐ aː ɡ l ɔ kʰ ə
miideraglocke	m aj iː d ɐ aː ɡ l ɔ kʰ ə
miideraglocke	m iː d ɐ aː ɡ l ɔ kʰ ə
miideraglocke	m iː d ə ʁ a ɡ l ɔ kʰ ə
miideraglocke	m iː iː d ɐ aː ɡ l ɔ kʰ ə
miideraglocke	m ɪ ts iː d ɐ aː ɡ l ɔ kʰ ə
lustbarkeiten	l ʊ s t b aː ʁ kʰ aj tʰ n̩
magdhaft	m aː k t h a f t
miideratempels	m aj d ə ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m aj iː d ə ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m aj ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m iː d ə ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m iː d ɛ ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m iː iː d ə ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m iː ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m ɪ d ɛ ʁ a tʰ ɛ m pʰ l̩ s
miideratempels	m ɪ ts iː d ə ʁ a tʰ ɛ m pʰ l̩ s
lustiges	l ʊ s t ɪ ɡ ə s
magenschnaps	m aː ɡ n̩ ʃ n a p s
mikroskopisch	m ɪ k ʁ ɔ s k oː pʰ ɪ ʃ
mikroskopischer	m ɪ k ʁ ɔ s k oː pʰ ɪ ʃ ɐ
magier	m a ɟ iː ɐ
luxus	l ʊ k s ʊ s
milchreiche	m ɪ l ç ʁ aj ç ə
magiern	m a ɟ iː ɐ n
milder	m ɪ l d ɐ
milder	m ɪ l d ə ʁ
magische	m a ɟ ɪ ʃ ə
milliarden	m ɪ l j aː d n̩
magischer	m a ɟ ɪ ʃ ɐ
millionärstöchtern	m ɪ l j oː n eː ɐ ʃ t œ ç tʰ ɐ n
magst	m aː k s t
lächelnden	l ɛ ç l̩ n d n̩
minderjährige	m ɪ n d ɐ j eː ʁ ɪ ɡ ə
minister	m ɪ n ɪ s t ɐ
mahagoniholz	m a h a ɡ oː n ɪ h ɔ l ts
mir	m iː ɐ
mir	m ɐ
maimonides	m aj m ɔ n iː d ə s
makronen	m a k ʁ oː n n̩
maler	m aː l ɐ
lämmerhirts	l ɛ m ɐ h ɪ ʁ t s
misanthrop	m ɪ z a n t ʁ oː p
ländern	l ɛ n d ɐ n
mit	m ɪ t
malte	m a l tʰ ə
malte	m aː l tʰ ə
länge	l ɛ ŋ ə
längengrade	l ɛ ŋ ə n ɡ ʁ aː d ə
mitbringen	m ɪ t b ʁ ɪ ŋ n̩
manch	m a ɲ ç
miteinander	m ɪ tʰ aj n a n d ɐ
mitgebracht	m ɪ t ɡ ə b ʁ a x t
mancherlei	m a ɲ ç ɐ l aj
läse	l eː z ə
mitglieder	m ɪ t ɡ l iː d ɐ
manchmal	m a ɲ ç m aː l
lästermaul	l ɛ s t ɐ m aw l
mitnahm	m ɪ t n aː m
mandolinen	m a n d ɔ l iː n n̩
läufst	l ɔʏ f s t
mitsamt	m ɪ t s a m t
mittag	m ɪ tʰ a x
mittag	m ɪ tʰ aː k
mangel	m a ŋ l̩
löblich	l øː p l ɪ ç
löschten	l œ ʃ t n̩
mittaghitze	m ɪ tʰ a k h ɪ ts ə
mittaghitze	m ɪ tʰ aː k h ɪ ts ə
mangelte	m a ŋ l̩ tʰ ə
mittags	m ɪ tʰ aː k s
lüftchen	l ʏ f t ç n̩
mittagsstunde	m ɪ tʰ aː k s ʃ t ʊ n d ə
lüftete	l ʏ f tʰ ə tʰ ə
lügt	l yː k t
mitte	m ɪ tʰ ə
lüste	l ʏ s t ə
mitteilung	m ɪ tʰ aj l ʊ ŋ
mannbar	m a n b aː ɐ
m	m
m	ɛ m
mittelalter	m ɪ tʰ l̩ a l tʰ ɐ
mittelmeerhimmels	m ɪ tʰ l̩ m eː ɐ h ɪ m l̩ s
mverschwand	m f ɛ ɐ ʃ v a n t
mitten	m ɪ tʰ n̩
mannesjahre	m a n ə s j aː ʁ ə
mitternacht	m ɪ tʰ ɐ n a x t
mannigfache	m a n ɪ ç f a x ə
mannschaften	m a n ʃ a f tʰ n̩
marineoffizier	m a ʁ ɪ n ɛ ɔ f ɪ ts iː ɐ
mitzunehmen	m ɪ ts ʊ n eː m n̩
marktplatz	m a ʁ k t p l a ts
mißfiel	m aj s f iː l
mißfiel	m aj s ɛ f iː l
mißfiel	m s f iː l
madonnenhaften	m a d ɔ n ə n h a f tʰ n̩
magenelixir	m a ɟ ɛ n ɛ l ɪ k s iː ɐ
magenelixir	m aː ɡ ə n ɛ l ɪ k s iː ɐ
magica	m a ɟ ɪ kʰ a
